song_title,emotion,file_path
Tum_Hi_Ho__Aashiqui_2,sad song,"sad song/_Tum_Hi_Ho__Aashiqui_2_Full_Song_With_Lyrics___Aditya_Roy_Kapur,_Shraddha_Kapoor(256k).mp3"
Ae_Dil_Hai_Mushkil,sad song,"sad song/Ae_Dil_Hai_Mushkil_Title_Track_Full_Video_-_Ranbir,_Anushka,_Aishwarya_Arijit_Pritam(256k).mp3"
Agar_Tum_Saath_Ho,sad song,"sad song/Agar_Tum_Saath_Ho_FULL_AUDIO_Song___Tamasha___Ranbir_Kapoor,_Deepika_Padukone___T-Series(256k).mp3"
ANIMAL_Pehle_Bhi_Main,sad song,"sad song/ANIMAL_Pehle_Bhi_Main_Full_Video____Ranbir_Kapoor,Tripti_Dimri__Sandeep_V__Vishal_M,Raj_S__Bhushan_K(256k).mp3"
Hamari_Adhuri_Kahani__Lyrict,sad song,"sad song/Arijit_Singh,_Jeet_Gannguli_-_Hamari_Adhuri_Kahani__Lyrics_(256k).mp3"
Asal_Mein_-,sad song,"sad song/Asal_Mein_-_Darshan_Raval___Official_Lyrical_Video___Indie_Music_Label(256k).mp3"
Bolna_Lyric,sad song,"sad song/Bolna_Lyric_Video_-_Kapoor___Sons___Sidharth___Alia___Fawad___Arijit___Asees___Tanishk(256k).mp3"
KHAIRIYAT_,sad song,"sad song/Full_Song__KHAIRIYAT__BONUS_TRACK____CHHICHHORE___Sushant,_Shraddha___Pritam,_Amitabh_B_Arijit_Singh(256k).mp3"
CHALE_AANA___De_De_Pyaar_De,sad song,"sad song/Full_Video__CHALE_AANA___De_De_Pyaar_De_I_Ajay_Devgn,_Tabu,_Rakul_Preet_l_Armaan_M,_Amaal_M,Kunaal_V(256k).mp3"
Heartless__Main_Dhoondne_Ko_Zamaane_Mein,sad song,"sad song/Heartless__Main_Dhoondne_Ko_Zamaane_Mein_Full_Song___Arijit_Singh___Adhyayan_Suman,_Ariana_Ayam(256k).mp3"
Humnava_Mere_Lyrical,sad song,"sad song/Humnava_Mere_Lyrical_Video___Jubin_Nautiyal___Manoj_Muntashir___Rocky_-_Shiv___Bhushan_Kumar(256k).mp3"
Kaise_Hua___Kabir_Singh_,sad song,"sad song/LYRICAL__Kaise_Hua___Kabir_Singh___Shahid_K,_Kiara_A,_Sandeep_V___Vishal_Mishra,_Manoj_Muntashir(256k).mp3"
Main_Rahoon_Ya_Na_Rahoon_,sad song,"sad song/Main_Rahoon_Ya_Na_Rahoon_Full_LYRICAL_Video___Emraan_Hashmi,_Esha_Gupta___Amaal_Mallik,_Armaan_Malik(256k).mp3"
Mann_Bharryaa_2.0,sad song,"sad song/Mann_Bharryaa_2.0_–_Official_Video___Shershaah___Sidharth_–_Kiara___B_Praak___Jaani(256k).mp3"
Mehrama_-_Official_Lyric,sad song,"sad song/Mehrama_-_Official_Lyric_Video___Love_Aaj_Kal___Kartik___Sara___Pritam___Darshan(256k).mp3"
MESSENGER_,sad song,"sad song/MESSENGER_VIDEO_CALL_PRANK___NEW_TREND_BACKGROUND_VIDEO_PRANK_#messengervideocallprank___#newtrend(360p).mp4"
Phir_Bhi_Tumko_Chaahunga_-,sad song,"sad song/Phir_Bhi_Tumko_Chaahunga_-_Full_Song___Arijit_Singh___Arjun_K___Shraddha_K___Mithoon,_Manoj_M(256k).mp3"
Raanjhan__LYRICS__-_Do_Patti_,sad song,"sad song/Raanjhan__LYRICS__-_Do_Patti___Kriti_Sanon,_Shaheer_S___Parampara_Tandon___Sachet_Tandon,_Kausar_M(256k).mp3"
Ranjha_–_Official,sad song,"sad song/Ranjha_–_Official_Video___Shershaah___Sidharth–Kiara___B_Praak___Jasleen_Royal___Romy___Anvita_Dutt(256k).mp3"
Tere_Hawale__LYRICS__-_Arijit_Singh,sad song,"sad song/Tere_Hawale__LYRICS__-_Arijit_Singh,_Shilpa_Rao___Aamir,_Kareena___Pritam___Laal_Singh_Chaddha(256k).mp3"
Tum_Hi_Aana_-_LYRICS,sad song,"sad song/Tum_Hi_Aana_-_LYRICS_Marjaavan___Jubin_Nautiyal___Ritesh_D___Sidharth_M___Payal_Dev_SubhamMix_Lyrics(256k).mp3"
Aashayein_Lyrical_,"sad,unhappy,broken,crying,emotional,heartbroken","motivation/Aashayein_Lyrical_Song_Video_-_Iqbal___Naseeruddin,_Shreyas___KK,_Salim_Merchant___Motivational_Song(256k).mp3"
Bandeya_Re_Bandeya___Simbha,"sad,unhappy,broken,crying,emotional,heartbroken","motivation/Bandeya_Re_Bandeya___Simbha___Arijit_Singh__Lyrics_Song(256k).mp3"
BESABRIYAAN_Full_Song_,"sad,unhappy,broken,crying,emotional,heartbroken","motivation/BESABRIYAAN_Full_Song_Audio___M._S._DHONI_-_THE_UNTOLD_STORY___Sushant_Singh_Rajput___Latest_Songs(256k).mp3"
Brothers_Anthem_Lyric,"sad,unhappy,broken,crying,emotional,heartbroken","motivation/Brothers_Anthem_Lyric_Video_-_Brothers___Akshay_Kumar___Sidharth_Malhotra(256k).mp3"
Chak_De!_India_,"sad,unhappy,broken,crying,emotional,heartbroken","motivation/Chak_De!_India_[English_Translation]_Lyrics(256k).mp3"
Chal_Utth_Bandeya_,"sad,unhappy,broken,crying,emotional,heartbroken","motivation/Chal_Utth_Bandeya_Full_Song_with_Lyrics___DO_LAFZON_KI_KAHANI___Randeep_Hooda,_Kajal_Aggarwal(256k).mp3"
Dangal_-,"sad,unhappy,broken,crying,emotional,heartbroken","motivation/Dangal_-_Title_Track___Lyrical_Video___Dangal___Aamir_Khan___Pritam___Amitabh_B___Daler_Mehndi(256k).mp3"
Dhaakad_-_Lyrics,"sad,unhappy,broken,crying,emotional,heartbroken","motivation/Dhaakad_-_Lyrics_Video___Dangal___Aamir_Khan___Pritam___Amitabh_Bhattacharya___Raftaar(256k).mp3"
Ek Zindagi -,"sad,unhappy,broken,crying,emotional,heartbroken","motivation/Ek Zindagi - Angrezi Medium 320 Kbps.mp3"
Jagga_Jiteya_-,"sad,unhappy,broken,crying,emotional,heartbroken","motivation/Jagga_Jiteya_-_Full_Audio___URI___Vicky_Kaushal,_Yami_Gautam__Daler_Mehndi,_Dee_MC,_Shashwat_Sachdev(256k).mp3"
Lakshya_,"sad,unhappy,broken,crying,emotional,heartbroken","motivation/Lakshya_Full_Video_-_Title_Track_Hrithik_Roshan_Shankar_Ehsaan_Loy_Javed_Akhtar(256k).mp3"
Piyush_Mishra__Aarambh__Lyrical_,"sad,unhappy,broken,crying,emotional,heartbroken","motivation/Piyush_Mishra__Aarambh__Lyrical_Video_Song___Gulaal___K._K._Menon,_Abhimannyu_Singh,_Mahi_Gill(256k).mp3"
Sanju__KAR_HAR_MAIDAAN_FATEH_,"sad,unhappy,broken,crying,emotional,heartbroken","motivation/Sanju__KAR_HAR_MAIDAAN_FATEH_Full_Video_Song___Ranbir_Kapoor___Rajkumar_Hirani(256k).mp3"
Ziddi_Dil_-_Lyrical_,"sad,unhappy,broken,crying,emotional,heartbroken","motivation/Ziddi_Dil_-_Lyrical_Video___Mary_Kom___Vishal_Dadlani___Priyanka_Chopra___HD(256k).mp3"
Zinda_Lyric_,"sad,unhappy,broken,crying,emotional,heartbroken","motivation/Zinda_Lyric_Video_-_Bhaag_Milkha_Bhaag_Farhan_Akhtar_Siddharth_Mahadevan_Prasoon_Joshi(256k).mp3"
Calm Song PlayList,calm,Bollywood_Sukoon_Mix___Non-Stop_Soothing_Songs___Slow_Hindi_Songs___T-Series(48k).mp3

Angry Song,angry,Feel_Good_Hindi_Songs___Audio_Jukebox___Upbeat_Bollywood_Songs(48k).mp3
Apna_Bana_Le_,arijit,"Arijit_Singh/Apna_Bana_Le_-_Full_Audio___Bhediya___Varun_Dhawan,_Kriti_Sanon__Sachin-Jigar,Arijit_Singh,Amitabh_B(256k).mp3"
Badshah_X_Arijit_Singh_-_Soulmate,arijit,"Arijit_Singh/Badshah_X_Arijit_Singh_-_Soulmate__Official_Lyric_Video____EK_THA_RAJA(256k).mp3"
Deva_Deva_-_Lyrical,arijit,"Arijit_Singh/Deva_Deva_-_Lyrical_Song___Brahmāstra___Arijit_Singh,_Jonita_Gandhi___Ranbir_K,_Alia_Bhatt___Pritam(256k).mp3"
Dil_Jhoom___Gadar_2_,arijit,"Arijit_Singh/Dil_Jhoom___Gadar_2___Arijit_Singh___Sunny_Deol,_Utkarsh_Sharma,_Simratt_K___Mithoon,_Sayeed_Quadri(256k).mp3"
Full_Song__KHAIRIYAT_,arijit,"Arijit_Singh/Full_Song__KHAIRIYAT__BONUS_TRACK____CHHICHHORE___Sushant,_Shraddha___Pritam,_Amitabh_B_Arijit_Singh(256k).mp3"
Heeriye__Official,arijit,"Arijit_Singh/Heeriye__Official_Video__Jasleen_Royal_ft_Arijit_Singh__Dulquer_Salmaan__Aditya_Sharma__Taani_Tanvir(256k).mp3"
JAWAN__Chaleya_,arijit,"Arijit_Singh/JAWAN__Chaleya__Hindi____Shah_Rukh_Khan___Nayanthara___Atlee___Anirudh___Arijit_S,_Shilpa_R___Kumaar(256k).mp3"
Lutt_Putt_Gaya__,arijit,"Arijit_Singh/Lutt_Putt_Gaya__Full_Video__Shah_Rukh_Khan,Taapsee,Rajkumar_H,Pritam,Arijit,Swanand,IP Singh___Dunki(256k).mp3"
Tera_Fitoor_Lyrical,arijit,"Arijit_Singh/Tera_Fitoor_Lyrical_-_Genius___Utkarsh_Sharma,_Ishita_Chauhan___Arijit_Singh___Himesh_Reshammiya(256k).mp3"
Zaalima___Raees_,arijit,"Arijit_Singh/Zaalima___Raees___Shah_Rukh_Khan___Mahira_Khan___Arijit_Singh___Harshdeep_Kaur___JAM8___Pritam(256k).mp3"
BOL_DO_NA_ZARA__,arman,"arman_malik/BOL_DO_NA_ZARA_Full_Video_Song___AZHAR___Emraan_Hashmi,_Nargis_Fakhri___Armaan_Malik,_Amaal_Mallik(256k).mp3"
Full_Song__Pehla_Pyaar__,arman,"arman_malik/Full_Song__Pehla_Pyaar___Kabir_Singh___Shahid_Kapoor,_Kiara_Advani___Armaan_Malik___Vishal_Mishra(256k).mp3"
_CHALE_AANA___De_De_Pyaar_De,arman,"arman_malik/Full_Video__CHALE_AANA___De_De_Pyaar_De_I_Ajay_Devgn,_Tabu,_Rakul_Preet_l_Armaan_M,_Amaal_M,Kunaal_V(256k).mp3"
JAB_TAK_,arman,"arman_malik/JAB_TAK_Full_Video___M.S._DHONI_-THE_UNTOLD_STORY___Armaan_Malik,_Amaal_Mallik__Sushant_Singh_Rajput(256k).mp3"
Main_Rahoon_Ya_Na_Rahoon_,arman,"arman_malik/Main_Rahoon_Ya_Na_Rahoon_Full_LYRICAL_Video___Emraan_Hashmi,_Esha_Gupta___Amaal_Mallik,_Armaan_Malik(256k).mp3"
_Tu_Chahiye__,atif,"Atif_Aslam/_Tu_Chahiye__FULL_VIDEO_Song_-_Atif_Aslam_Pritam___Bajrangi_Bhaijaan___Salman_Khan,_Kareena_Kapoor(256k).mp3"
Aadat__Juda_Hoke_Bhi___,atif,"Atif_Aslam/Aadat__Juda_Hoke_Bhi____Atif_Aslam___Kunal_Khemu___Kalyug___Sayeed_Q___Emraan_Hashmi(256k).mp3"
_Dekhte_Dekhte_Lyrical_,atif,"Atif_Aslam/Atif_A__Dekhte_Dekhte_Lyrical___Batti_Gul_Meter_Chalu___Shahid_K_Shraddha___Nusrat_Saab_Rochak_Manoj(256k).mp3"
_Musafir_Audio__,atif,"Atif_Aslam/Atif_Aslam__Musafir_Audio___Sweetiee_Weds_NRI___Himansh_Kohli,Zoya_Afroz___Palak____Palash_Muchhal(256k).mp3"
Pehli_Dafa_Song_,atif,"Atif_Aslam/Atif_Aslam__Pehli_Dafa_Song__Video____Ileana_D’Cruz___Latest_Hindi_Song_2017___T-Series(256k).mp3"
_Tere_Bin_s_Lyrics_,atif,"Atif_Aslam/Atif_Aslam_s_Tere_Bin_s_Lyrics(256k).mp3"
Bairiyaa___Ramaiya_Vastavaiya_,atif,"Atif_Aslam/Bairiyaa___Ramaiya_Vastavaiya___Girish_Kumar___Shruti_Haasan___Atif_Aslam,_Shreya_Ghoshal(256k).mp3"
Dil_Meri_Na_Sune_Lyrical__,atif,"Atif_Aslam/Dil_Meri_Na_Sune_Lyrical_-_Genius___Utkarsh_Sharma,_Ishita___Atif_Aslam___Himesh_Reshammiya(256k).mp3"
Jeena_Jeena__Audio_Song_,atif,"Atif_Aslam/Jeena_Jeena__Audio_Song____Badlapur___Varun_Dhawan,_Yami_Gautam___Nawazuddin_Siddiqui(256k).mp3"
_Dil_Diyan_Gallan_Song_with_Lyrics_,atif,"Atif_Aslam/Lyrical___Dil_Diyan_Gallan_Song_with_Lyrics___Tiger_Zinda_Hai___Vishal_and_Shekhar___Irshad_Kamil(256k).mp3"
_PANIYON_SA___Satyameva_Jayate_,atif,"Atif_Aslam/Lyrical___PANIYON_SA___Satyameva_Jayate___John_Abraham___Aisha___Tulsi_Kumar___Atif_Aslam__Rochak_K(256k).mp3"
_Piya_O_Re_Piya_Full_Song_,atif,"Atif_Aslam/Lyrics_-_Piya_O_Re_Piya_Full_Song___Atif_Aslam,_Shreya_Ghoshal___Mayur_Puri,_Sachin_-_Jigar___TNLHG(256k).mp3"
Main_Rang_Sharbaton_Ka___Arijit_Singh,atif,"Atif_Aslam/Main_Rang_Sharbaton_Ka___Arijit_Singh___Phata_Poster_Nikhla_Hero___2013(256k).mp3"
O_Meri_Laila_-_Lyrical_,atif,"Atif_Aslam/O_Meri_Laila_-_Lyrical___Laila_Majnu___Atif_Aslam___Jyotica_Tangri___Avinash_Tiwary___Tripti_Dimri(256k).mp3"
O_Saathi_Lyrical_,atif,"Atif_Aslam/O_Saathi_Lyrical_Video___Baaghi_2___Tiger_Shroff___Disha_Patani___Arko___Ahmed_Khan_Sajid_Nadiadwala(256k).mp3"
Pehli_Nazar_Mein_Kaise_Jaado_Kar_Diya___,atif,"Atif_Aslam/Pehli_Nazar_Mein_Kaise_Jaado_Kar_Diya___Atif_Aslam_Hits___Race_I_Akshaye,_Bipasha___Saif_Ali(256k).mp3"
Rang_Jo_Lagyo_Lyrical__,atif,"Atif_Aslam/Rang_Jo_Lagyo_Lyrical___Ramaiya_Vastavaiya___Girish_Kumar,_Shruti_Haasan__Atif_Aslam,_Shreya_Ghoshal(256k).mp3"
Tera_Hone_Laga_Hoon___,atif,"Atif_Aslam/Tera_Hone_Laga_Hoon___Atif_Aslam___Alisha_Chinai___Ajab_Prem_Ki_Ghazab_Kahani___2009(128k).mp3"
Tera_Hua_Video_Song__,atif,"Atif_Aslam/Tera_Hua_Video_Song_With_Lyrics___Atif_Aslam___Loveyatri___Aayush_Sharma___Warina_Hussain__Tanishk_B(256k).mp3"
Tere_Sang_Yaara_-_,atif,"Atif_Aslam/Tere_Sang_Yaara_-_Full_Audio___Rustom___Akshay_Kumar___Ileana_D_cruz___Arko___Atif_Aslam___Manoj_M(256k).mp3"
Toota_Jo_Kabhi_Tara_,atif,"Atif_Aslam/Toota_Jo_Kabhi_Tara_-_Tiger_Shroff_,_Jacqueline___Atif_Aslam,_Sumedha_K___Sachin_Jigar(256k).mp3"
Tu_Jaane_Na_Lyrical_,atif,"Atif_Aslam/Tu_Jaane_Na_Lyrical_-_Ajab_Prem_Ki_Ghazab_Kahani___Atif_Aslam___Ranbir_Kapoor,_Katrina_Kaif___Pritam(256k).mp3"
Woh_Lamhe_Woh_Baatein__,atif,"Atif_Aslam/Woh_Lamhe_Woh_Baatein__From__Zeher__(256k).mp3"
जीने_लगा_हूँ_पहले_से_ज़्यादा_पहले_से_ज़्यादा_तुमपे_मरने_लगा_हूँ_,atif,"Atif_Aslam/जीने_लगा_हूँ_पहले_से_ज़्यादा_पहले_से_ज़्यादा_तुमपे_मरने_लगा_हूँ_-_Jeene_Laga_Hoon___Hindi_Song(256k).mp3"
